avg_served_clients,avg_waiting_clients,n_pumps,n_registers,arrival_prob,avg_refuelling_time,std_refuelling_time,avg_payment_time,std_payment_time,avg_time_pumps,avg_time_registers
236.2,0.12,10,8,0.5,2,2,2,5,72.36999999999999,160.27750000000003
237.52,0.04,10,9,0.5,2,2,2,5,72.75399999999999,142.68000000000004
237.76,0.0,10,10,0.5,2,2,2,5,73.102,129.36
88.82,247.98,1,1,0.7,2,2,2,5,482.24,480.82
157.0,178.32,1,2,0.7,2,2,2,5,482.14,426.14
158.32,175.06,1,3,0.7,2,2,2,5,482.22,286.7333333333333
156.88,179.38,1,4,0.7,2,2,2,5,482.04,213.745
157.06,176.66,1,5,0.7,2,2,2,5,482.46,168.95200000000003
157.36,176.76,1,6,0.7,2,2,2,5,482.44,140.78666666666666
158.46,177.02,1,7,0.7,2,2,2,5,482.34,123.45714285714284
157.58,177.14,1,8,0.7,2,2,2,5,482.44,108.55499999999999
159.06,175.84,1,9,0.7,2,2,2,5,482.4,95.58666666666666
157.18,180.28,1,10,0.7,2,2,2,5,482.26,85.35200000000002
88.18,246.16,2,1,0.7,2,2,2,5,475.16999999999996,482.02
178.06,154.88,2,2,0.7,2,2,2,5,473.56,480.48
262.34,69.24,2,3,0.7,2,2,2,5,474.15,478.0733333333333
310.44,28.02,2,4,0.7,2,2,2,5,476.40999999999997,421.935
310.24,27.38,2,5,0.7,2,2,2,5,476.57,335.152
311.22,27.58,2,6,0.7,2,2,2,5,475.82,281.93666666666667
310.34,26.18,2,7,0.7,2,2,2,5,476.24,238.0285714285714
310.52,25.84,2,8,0.7,2,2,2,5,475.53,208.66500000000002
311.54,25.14,2,9,0.7,2,2,2,5,475.69,187.30444444444444
309.36,25.12,2,10,0.7,2,2,2,5,474.34000000000003,168.346
87.56,246.72,3,1,0.7,2,2,2,5,336.4266666666667,480.66
175.76,159.7,3,2,0.7,2,2,2,5,340.97999999999996,480.32
264.34,68.9,3,3,0.7,2,2,2,5,338.49333333333334,478.1666666666667
327.14,12.52,3,4,0.7,2,2,2,5,337.8533333333333,441.47
329.9,6.18,3,5,0.7,2,2,2,5,336.5133333333333,356.492
329.76,4.68,3,6,0.7,2,2,2,5,336.7266666666667,298.99333333333334
330.94,3.96,3,7,0.7,2,2,2,5,337.4066666666667,256.2085714285714
332.04,3.86,3,8,0.7,2,2,2,5,338.77333333333337,225.94250000000002
327.96,3.94,3,9,0.7,2,2,2,5,336.3333333333333,198.59111111111108
330.86,3.84,3,10,0.7,2,2,2,5,334.3066666666667,178.834
89.18,244.86,4,1,0.7,2,2,2,5,253.265,481.72
178.08,154.98,4,2,0.7,2,2,2,5,254.10999999999999,481.07000000000005
265.08,69.08,4,3,0.7,2,2,2,5,254.025,479.18
328.52,11.98,4,4,0.7,2,2,2,5,253.54000000000002,444.55499999999995
329.2,5.18,4,5,0.7,2,2,2,5,253.94000000000003,355.348
329.76,3.5,4,6,0.7,2,2,2,5,253.125,295.85333333333335
330.6,2.62,4,7,0.7,2,2,2,5,252.99,257.38
332.7,2.16,4,8,0.7,2,2,2,5,254.67,226.145
330.12,2.06,4,9,0.7,2,2,2,5,253.90000000000003,200.98666666666665
328.92,2.0,4,10,0.7,2,2,2,5,251.785,179.00600000000003
89.06,246.04,5,1,0.7,2,2,2,5,204.53199999999998,481.12
176.3,158.76,5,2,0.7,2,2,2,5,203.81599999999997,481.07
