avg_served_clients,avg_waiting_clients,n_pumps,n_registers,arrival_prob,avg_refuelling_time,std_refuelling_time,avg_payment_time,std_payment_time,avg_time_pumps,avg_time_registers
92.84,147.46,4,1,0.5,2,2,5,2,184.585,481.1
68.76,168.88,4,1,0.5,2,2,5,5,180.415,481.88
157.36,82.7,4,1,0.5,2,5,2,2,324.525,476.08
89.42,149.52,4,1,0.5,2,5,2,5,324.47,479.42
92.62,147.22,4,1,0.5,2,5,5,2,324.44,478.96
69.12,171.64,4,1,0.5,2,5,5,5,327.3,481.04
157.14,81.0,4,1,0.5,5,2,2,2,305.71000000000004,476.44
88.12,150.22,4,1,0.5,5,2,2,5,307.895,479.98
93.0,147.0,4,1,0.5,5,2,5,2,308.865,479.1
69.5,168.28,4,1,0.5,5,2,5,5,307.95,480.4
157.24,82.92,4,1,0.5,5,5,2,2,411.33500000000004,474.72
87.9,149.04,4,1,0.5,5,5,2,5,407.84999999999997,478.78
91.14,146.9,4,1,0.5,5,5,5,2,408.04,478.46
68.76,167.04,4,1,0.5,5,5,5,5,407.11499999999995,479.34
239.12,5.88,4,2,0.5,2,2,2,2,183.21,362.52
175.46,64.54,4,2,0.5,2,2,2,5,182.38000000000002,479.07
186.58,51.98,4,2,0.5,2,2,5,2,179.325,478.62
138.46,100.8,4,2,0.5,2,2,5,5,183.42,480.57
237.28,6.84,4,2,0.5,2,5,2,2,321.70500000000004,360.47
177.18,63.42,4,2,0.5,2,5,2,5,324.21500000000003,475.93
184.02,53.98,4,2,0.5,2,5,5,2,320.815,476.29999999999995
138.34,101.2,4,2,0.5,2,5,5,5,322.4,480.25
237.28,6.1,4,2,0.5,5,2,2,2,309.7,359.33000000000004
176.22,62.58,4,2,0.5,5,2,2,5,308.635,477.53
184.64,49.46,4,2,0.5,5,2,5,2,299.095,476.27
138.44,98.68,4,2,0.5,5,2,5,5,306.13,478.66999999999996
230.18,9.3,4,2,0.5,5,5,2,2,403.62,347.13
173.86,61.7,4,2,0.5,5,5,2,5,404.91,474.71000000000004
184.1,51.94,4,2,0.5,5,5,5,2,408.225,474.57000000000005
136.64,102.86,4,2,0.5,5,5,5,5,414.01,477.13
236.68,3.12,4,3,0.5,2,2,2,2,180.495,240.07333333333335
236.58,11.34,4,3,0.5,2,2,2,5,182.58,434.67333333333335
238.58,7.58,4,3,0.5,2,2,5,2,184.845,411.5
206.54,32.66,4,3,0.5,2,2,5,5,180.3,475.85999999999996
235.84,4.9,4,3,0.5,2,5,2,2,325.04,237.12
234.56,11.9,4,3,0.5,2,5,2,5,327.37,427.9066666666666
238.48,8.62,4,3,0.5,2,5,5,2,329.11,411.1266666666667
202.88,38.52,4,3,0.5,2,5,5,5,325.925,473.70666666666665
234.48,4.08,4,3,0.5,5,2,2,2,305.24,237.48666666666668
232.32,10.1,4,3,0.5,5,2,2,5,306.815,420.81333333333333
237.02,7.28,4,3,0.5,5,2,5,2,310.145,405.6333333333334
207.2,31.96,4,3,0.5,5,2,5,5,307.24,473.9866666666667
235.32,8.84,4,3,0.5,5,5,2,2,413.31,238.78666666666666
231.6,13.08,4,3,0.5,5,5,2,5,412.765,420.8066666666667
230.84,10.2,4,3,0.5,5,5,5,2,405.11,396.4466666666667
202.04,34.76,4,3,0.5,5,5,5,5,403.495,468.9866666666667
236.56,1.92,4,4,0.5,2,2,2,2,181.59,179.32
237.54,4.68,4,4,0.5,2,2,2,5,181.315,324.02
238.26,3.98,4,4,0.5,2,2,5,2,181.84,308.435
235.56,7.94,4,4,0.5,2,2,5,5,183.505,407.395
238.32,4.76,4,4,0.5,2,5,2,2,324.13,179.43
237.7,6.24,4,4,0.5,2,5,2,5,329.20000000000005,326.725
232.88,5.26,4,4,0.5,2,5,5,2,321.71000000000004,300.135
232.06,8.42,4,4,0.5,2,5,5,5,323.885,401.82500000000005
236.88,3.44,4,4,0.5,5,2,2,2,308.185,179.525
238.08,5.38,4,4,0.5,5,2,2,5,312.02,320.975
236.26,4.42,4,4,0.5,5,2,5,2,306.225,305.125
233.18,8.98,4,4,0.5,5,2,5,5,308.09,408.045
234.5,8.94,4,4,0.5,5,5,2,2,410.19,177.29000000000002
232.34,8.64,4,4,0.5,5,5,2,5,408.905,316.045
235.56,8.94,4,4,0.5,5,5,5,2,414.47,304.41
233.44,11.44,4,4,0.5,5,5,5,5,412.43,403.95000000000005
239.58,1.38,4,5,0.5,2,2,2,2,182.76,144.908
236.96,3.06,4,5,0.5,2,2,2,5,180.85500000000002,258.464
235.66,2.46,4,5,0.5,2,2,5,2,181.445,243.18800000000002
235.36,4.42,4,5,0.5,2,2,5,5,179.70499999999998,324.964
236.62,4.86,4,5,0.5,2,5,2,2,326.54499999999996,143.936
234.6,4.74,4,5,0.5,2,5,2,5,321.39000000000004,254.86399999999998
239.36,5.08,4,5,0.5,2,5,5,2,328.89,245.79599999999996
235.1,5.76,4,5,0.5,2,5,5,5,324.62,326.256
237.02,3.5,4,5,0.5,5,2,2,2,307.895,142.824
236.16,4.08,4,5,0.5,5,2,2,5,310.27,252.81200000000004
235.28,3.54,4,5,0.5,5,2,5,2,306.805,243.788
234.92,5.26,4,5,0.5,5,2,5,5,307.63,327.072
237.16,8.6,4,5,0.5,5,5,2,2,408.735,142.83999999999997
233.3,8.86,4,5,0.5,5,5,2,5,409.355,252.208
232.68,8.32,4,5,0.5,5,5,5,2,408.305,240.68400000000003
231.94,9.28,4,5,0.5,5,5,5,5,409.61,322.36
236.94,1.14,4,6,0.5,2,2,2,2,180.61,119.14333333333333
235.92,1.92,4,6,0.5,2,2,2,5,181.21500000000003,211.68666666666664
238.18,1.7,4,6,0.5,2,2,5,2,182.945,204.5966666666667
234.32,2.92,4,6,0.5,2,2,5,5,179.72,268.93666666666667
238.48,5.02,4,6,0.5,2,5,2,2,327.72499999999997,120.53333333333335
238.32,4.7,4,6,0.5,2,5,2,5,326.84000000000003,214.97333333333333
236.56,4.9,4,6,0.5,2,5,5,2,330.065,202.14333333333332
236.32,5.02,4,6,0.5,2,5,5,5,327.505,274.96666666666664
236.5,3.5,4,6,0.5,5,2,2,2,307.54,119.34333333333332
237.44,3.82,4,6,0.5,5,2,2,5,309.62,215.40666666666667
236.72,3.52,4,6,0.5,5,2,5,2,309.805,203.4933333333333
234.76,3.98,4,6,0.5,5,2,5,5,307.885,272.0833333333333
232.54,8.14,4,6,0.5,5,5,2,2,404.055,117.19999999999999
231.98,7.9,4,6,0.5,5,5,2,5,403.005,209.89666666666668
234.0,8.4,4,6,0.5,5,5,5,2,404.605,201.04333333333332
